S.No,Stock Name,Sector,Market Cap Tier,Index Membership,Typical Volatility,Popularity / Liquidity,Better Suited For,Why,Key Price Drivers,Sector Peers to Compare,Daily Trend,Weekly Trend,Monthly Trend,RSI (14)_x,MACD Signal_x,20 DMA,50 DMA,100 DMA,200 DMA,Last Updated_x,EMA 20,EMA 50,EMA 100,EMA 200,Nearest Support,Nearest Resistance,S/R Respect Note,Today's Move,52W High_x,52W Low_x,% from 52W High_x,% from 52W Low_x,ATR (14)_x,% to Support_x,% to Resistance_x,P/E (Trailing)_x,Dividend Yield %_x,RSI (14)_y,MACD Signal_y,Today Volume,Volume Ratio,Open Interest,ATM Strike,ATM Straddle,PCR (OI),Max Pain,Options Strategy Bias,Last Updated_y,India VIX,52W High_y,52W Low_y,% from 52W High_y,% from 52W Low_y,ATR (14)_y,% to Support_y,% to Resistance_y,P/E (Trailing)_y,Dividend Yield %_y,30D Hist Volatility (%)
1,HDFC Bank Ltd,Banking,Large Cap,Nifty 50 + Nifty Bank,Low-Medium,Very High,Selling (Premium),"Low/stable volatility + deep liquidity: OTM strikes are cheap to write but stay in a fairly predictable range, tight spreads make entry/exit efficient, and gap risk on results/news is comparatively low.","RBI repo rate moves, credit growth & NPA trends, quarterly results, bond yield moves","ICICI Bank Ltd, State Bank of India, Kotak Mahindra Bank Ltd",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,33.63,0.22,44417092.0,1.54,0.0,710.0,29.1,0.52,730.0,Option Buyer: Bearish Breakdown,2026-09-01 22:18,11.19,1020.5,698.5,-30.48,1.57,11.34,1.55,4.57,15.57,180.0,13.25
2,ICICI Bank Ltd,Banking,Large Cap,Nifty 50 + Nifty Bank,Low-Medium,Very High,Selling (Premium),"Low/stable volatility + deep liquidity: OTM strikes are cheap to write but stay in a fairly predictable range, tight spreads make entry/exit efficient, and gap risk on results/news is comparatively low.","RBI repo rate moves, credit growth & NPA trends, quarterly results, bond yield moves","HDFC Bank Ltd, State Bank of India, Kotak Mahindra Bank Ltd",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,51.71,0.79,10627608.0,1.12,0.0,1430.0,47.6,0.73,1440.0,Neutral / Stand Aside,2026-09-01 22:18,11.19,1480.0,1187.6,-3.39,20.4,20.31,2.69,2.11,18.59,84.0,16.42
3,State Bank of India,Banking,Large Cap,Nifty 50 + Nifty Bank,Medium,Very High,Selling (Premium),"Moderate, fairly range-bound volatility with strong liquidity: premium is reasonable and strikes can be placed with decent margin of safety; still check IV before results/events.","RBI repo rate moves, credit growth & NPA trends, quarterly results, bond yield moves","HDFC Bank Ltd, ICICI Bank Ltd, Kotak Mahindra Bank Ltd",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,43.11,-3.15,7605132.0,0.8,0.0,1030.0,42.2,0.66,1050.0,Option Seller: Short Strangle / Iron Condor,2026-09-01 22:18,11.19,1234.7,802.65,-16.59,28.31,16.16,0.27,9.19,11.07,164.0,19.62
4,Kotak Mahindra Bank Ltd,Banking,Large Cap,Nifty 50 + Nifty Bank,Low-Medium,High,Selling (Premium),"Low/stable volatility + deep liquidity: OTM strikes are cheap to write but stay in a fairly predictable range, tight spreads make entry/exit efficient, and gap risk on results/news is comparatively low.","RBI repo rate moves, credit growth & NPA trends, quarterly results, bond yield moves","HDFC Bank Ltd, ICICI Bank Ltd, State Bank of India",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,71.48,3.06,7669677.0,0.64,0.0,425.0,15.85,0.9,420.0,Neutral / Stand Aside,2026-09-01 22:18,11.19,453.2,345.5,-6.22,23.01,7.59,9.06,0.96,20.85,15.0,17.58
5,Axis Bank Ltd,Banking,Large Cap,Nifty 50 + Nifty Bank,Medium,Very High,Selling (Premium),"Moderate, fairly range-bound volatility with strong liquidity: premium is reasonable and strikes can be placed with decent margin of safety; still check IV before results/events.","RBI repo rate moves, credit growth & NPA trends, quarterly results, bond yield moves","HDFC Bank Ltd, ICICI Bank Ltd, State Bank of India",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,50.55,6.69,5588158.0,1.18,0.0,1260.0,46.6,0.86,1260.0,Neutral / Stand Aside,2026-09-01 22:18,11.19,1418.3,1045.0,-11.34,20.33,22.19,3.89,3.38,14.17,8.0,20.87
6,IndusInd Bank Ltd,Banking,Large Cap,Nifty 50 + Nifty Bank,Medium-High,Very High,Both / Depends on IV,"Volatility swings meaningfully with news/results and business cycle: rich premium can suit selling when IV is elevated, but sizing and strike distance should widen versus low-vol names; also workable for directional buying around clear catalysts.","RBI repo rate moves, credit growth & NPA trends, quarterly results, bond yield moves","HDFC Bank Ltd, ICICI Bank Ltd, State Bank of India",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,43.68,-3.44,1742567.0,1.6,0.0,990.0,47.55,0.87,1000.0,Neutral / Stand Aside,2026-09-01 22:18,11.19,1077.85,710.6,-8.19,39.26,17.82,0.94,4.89,58.46,15.0,24.87
7,Bank of Baroda,Banking,Large Cap,Nifty Bank,Medium-High,Very High,Both / Depends on IV,"Volatility swings meaningfully with news/results and business cycle: rich premium can suit selling when IV is elevated, but sizing and strike distance should widen versus low-vol names; also workable for directional buying around clear catalysts.","RBI repo rate moves, credit growth & NPA trends, quarterly results, bond yield moves","HDFC Bank Ltd, ICICI Bank Ltd, State Bank of India",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,40.46,-0.33,13131444.0,1.65,0.0,240.0,11.21,0.88,245.0,Neutral / Stand Aside,2026-09-01 22:18,11.19,325.5,231.72,-26.42,3.36,3.91,1.34,4.97,6.77,356.0,18.36
8,Canara Bank,Banking,Large Cap,Nifty Bank,Medium,High,Selling (Premium),"Moderate, fairly range-bound volatility with strong liquidity: premium is reasonable and strikes can be placed with decent margin of safety; still check IV before results/events.","RBI repo rate moves, credit growth & NPA trends, quarterly results, bond yield moves","HDFC Bank Ltd, ICICI Bank Ltd, State Bank of India",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,40.88,-0.49,9840419.0,0.69,0.0,125.0,6.64,0.83,130.0,Option Seller: Short Strangle / Iron Condor,2026-09-01 22:18,11.19,162.89,104.75,-22.89,19.9,2.41,0.35,5.98,5.74,331.0,18.19
9,Punjab National Bank,Banking,Large Cap,Nifty Bank,High,Very High,Buying (Directional),"High to very high volatility, often driven by news flow, ownership/regulatory triggers, or a still-unprofitable/early business model: sudden large moves and gap risk make naked OTM selling dangerous; a long option (defined max loss) fits this profile better than premium selling.","RBI repo rate moves, credit growth & NPA trends, quarterly results, bond yield moves","HDFC Bank Ltd, ICICI Bank Ltd, State Bank of India",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,51.23,-0.59,10969598.0,0.84,0.0,115.0,5.55,0.71,116.0,Option Seller: Short Strangle / Iron Condor,2026-09-01 22:18,11.19,135.15,98.5,-15.13,16.45,1.99,2.09,4.18,5.99,263.0,17.06
10,Federal Bank Ltd,Banking,Mid Cap,Nifty Bank,Medium,High,Selling (Premium),"Moderate, fairly range-bound volatility with strong liquidity: premium is reasonable and strikes can be placed with decent margin of safety; still check IV before results/events.","RBI repo rate moves, credit growth & NPA trends, quarterly results, bond yield moves","HDFC Bank Ltd, ICICI Bank Ltd, State Bank of India",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,48.34,-1.63,3391394.0,0.73,0.0,350.0,14.6,0.74,350.0,Option Seller: Short Strangle / Iron Condor,2026-09-01 22:18,11.19,371.7,188.4,-6.19,85.08,7.23,2.05,4.45,18.69,34.0,23.74
